Countries,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07
Venezuela,0,0,0,0,24,0,0,0,27,28,26,0,0,0,0,0,0,0,0,25,25,0,0,31,0,0,30,0,0,24,28,0,26,0,29,0,34,29,0,0,0,0,0,0,0,0,20,20,0,0,20,0,0,20,0,0,0,0,40,20,0,0,0,20,0,0,0,20,20,40,0,20,0,0,20,0,20,0,0
Viet Nam,693,405,754,896,744,621,1176,1274,837,616,728,1240,736,297,280,780,506,880,810,650,800,972,891,1085,726,609,870,728,456,960,952,936,884,870,841,1485,782,435,850,1680,888,1032,1360,700,700,920,1040,1820,800,600,1100,1240,740,1420,900,860,1280,880,980,2120,720,440,640,1060,580,1160,1680,1140,980,900,1120,2220,1300,520,800,2100,1180,1320,20
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,20,20,40,0,20,0,0,0,0,0,20,0,0,20,0,20,0,0
"Virgin Islands, United States",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,20,2420
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Yemen,0,0,0,28,24,0,0,0,0,0,0,0,32,0,0,26,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen, Democratic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Yugoslavia/Serbia and Montenegro,33,0,0,28,48,230,84,52,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,56,24,0,0,0,0,0,0,0,32,54,0,0,44,22,0,0,0,0,27,31,0,0,60,0,72,24,28,26,0,0,29,66,34,0,68,28,0,48,20,0,20,20,80,80,60,40,40,0,40,20,0,60,20,0,0,60,0,0,0,20,0,0,80,20,20,40,60,0,0,0,0,0,0,60,820
Zimbabwe,33,27,0,28,24,23,28,52,27,28,52,155,0,27,0,104,110,44,135,25,25,81,162,217,33,29,90,112,72,0,28,182,26,58,116,66,68,29,68,84,24,0,60,60,20,40,120,160,60,40,60,20,20,60,40,40,80,20,80,340,40,40,80,120,40,40,100,60,20,20,140,220,40,40,80,60,60,40,60
Total,111111,107784,134705,164360,173616,185955,201992,176046,191916,176008,154778,187209,104928,96498,126672,162162,163526,176242,198342,176325,193050,176310,158220,184388,106689,103965,142650,162680,165120,198600,207564,180622,210106,181250,161269,206349,118014,103820,143276,182924,181920,192888,232240,191360,167500,188320,174740,219340,129280,116500,153140,183440,179600,221220,205780,193640,208160,190440,173440,217080,121240,110820,156180,185240,182900,199340,237580,205460,211760,194040,171440,221400,128160,116920,148180,199360,198460,206760,5080
