Age_Var,Age_Level,Age_Label,Eth_Var,Eth_Level,Eth_Label,Sex_code,Sex_Label,DepMissing,Dep1,Dep2,Dep3,Dep4,Dep5,Dep6,Dep7,Dep8,Dep9,Dep10,Total
AgeGroup A,100,A: 0- 5 yrs,EthIndnonMP,99,nonMaorinonPacific Ethnicity,99,Both Sexes,9,3066,4038,4626,5763,6708,8682,10323,14421,20586,32439,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthTotal,11,Maori (Total),1,Male,18,2739,3375,4134,4806,5715,6852,8238,10299,13938,20127,
AgeGroup A,106,A: 6-17 yrs,EthTotal,11,Maori (Total),2,Female,18,2643,3351,3873,4479,5346,6477,7863,9963,13476,19407,
AgeGroup A,106,A: 6-17 yrs,EthTotal,11,Maori (Total),99,Both Sexes,33,5385,6729,8004,9282,11061,13329,16101,20262,27414,39534,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthTotal,12,Pacific People (Total),1,Male,,720,858,1152,1578,1785,2304,3129,5040,8205,14094,
AgeGroup A,106,A: 6-17 yrs,EthTotal,12,Pacific People (Total),2,Female,6,726,894,1071,1413,1620,2247,2886,5010,7854,13809,
AgeGroup A,106,A: 6-17 yrs,EthTotal,12,Pacific People (Total),99,Both Sexes,6,1446,1755,2223,2994,3402,4554,6018,10050,16056,27903,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthTotal,14,Asian (Total),1,Male,9,3123,3378,3750,3909,3849,3726,3591,3501,3195,2376,
AgeGroup A,106,A: 6-17 yrs,EthTotal,14,Asian (Total),2,Female,6,3117,3303,3462,3633,3666,3570,3339,3405,2943,2304,
AgeGroup A,106,A: 6-17 yrs,EthTotal,14,Asian (Total),99,Both Sexes,12,6237,6684,7215,7542,7518,7293,6930,6903,6138,4680,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthTotal,15,NonMaoriNonPacNonAs,1,Male,48,32724,29511,27351,24579,22866,20451,18552,15333,12942,8241,
AgeGroup A,106,A: 6-17 yrs,EthTotal,15,NonMaoriNonPacNonAs,2,Female,48,31377,27957,25560,23526,21735,19626,17355,14535,12474,7890,
AgeGroup A,106,A: 6-17 yrs,EthTotal,15,NonMaoriNonPacNonAs,99,Both Sexes,93,64101,57465,52914,48105,44604,40080,35904,29871,25416,16128,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthPrior,21,Maori (Prioritised),1,Male,18,2739,3375,4134,4806,5715,6852,8238,10299,13938,20127,
AgeGroup A,106,A: 6-17 yrs,EthPrior,21,Maori (Prioritised),2,Female,18,2643,3351,3873,4479,5346,6477,7863,9963,13476,19407,
AgeGroup A,106,A: 6-17 yrs,EthPrior,21,Maori (Prioritised),99,Both Sexes,33,5385,6729,8004,9282,11061,13329,16101,20262,27414,39534,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthPrior,22,Pacific People (Prioritised),1,Male,,534,627,831,1137,1293,1671,2322,3873,6468,11622,
AgeGroup A,106,A: 6-17 yrs,EthPrior,22,Pacific People (Prioritised),2,Female,,519,621,762,1032,1191,1599,2121,3816,6267,11421,
AgeGroup A,106,A: 6-17 yrs,EthPrior,22,Pacific People (Prioritised),99,Both Sexes,6,1053,1248,1590,2166,2484,3270,4443,7689,12738,23043,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthPrior,23,NonMaoriNonPac,1,Male,54,35757,32772,30993,28350,26547,24003,21903,18585,15756,10146,
AgeGroup A,106,A: 6-17 yrs,EthPrior,23,NonMaoriNonPac,2,Female,51,34380,31158,28908,27006,25233,23028,20466,17622,15060,9726,
AgeGroup A,106,A: 6-17 yrs,EthPrior,23,NonMaoriNonPac,99,Both Sexes,108,70140,63933,59898,55356,51780,47034,42369,36210,30816,19875,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthPrior,24,Asian (Prioritised),1,Male,9,3033,3261,3642,3771,3681,3555,3354,3255,2814,1908,
AgeGroup A,106,A: 6-17 yrs,EthPrior,24,Asian (Prioritised),2,Female,6,3006,3201,3345,3480,3498,3399,3111,3084,2586,1839,
AgeGroup A,106,A: 6-17 yrs,EthPrior,24,Asian (Prioritised),99,Both Sexes,12,6039,6465,6987,7248,7179,6954,6465,6339,5400,3747,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthPrior,25,NonMaoriNonPacNonAs,1,Male,48,32724,29511,27351,24579,22866,20451,18552,15333,12942,8241,
AgeGroup A,106,A: 6-17 yrs,EthPrior,25,NonMaoriNonPacNonAs,2,Female,48,31377,27957,25560,23526,21735,19626,17355,14535,12474,7890,
AgeGroup A,106,A: 6-17 yrs,EthPrior,25,NonMaoriNonPacNonAs,99,Both Sexes,93,64101,57465,52914,48105,44604,40080,35904,29871,25416,16128,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndMaori,31,Maori,1,Male,18,2739,3375,4134,4806,5715,6852,8238,10299,13938,20127,
