"Area_unit","AGE_0_4","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_29","AGE_30_34","AGE_35_39","AGE_40_44","AGE_45_49","AGE_50_54","AGE_55_59","AGE_60_64","AGE_65_OVER","AGE_TOTAL","AGE_10_14_im","AGE_15_19_im","AGE_20_24_im","AGE_25_29_im","AGE_30_34_im","AGE_35_39_im","AGE_40_44_im","AGE_45_49_im","AGE_50_54_im","AGE_55_59_im","AGE_60_64_im","AGE_65_OVER_im","AGE_TOTAL_im","AGE_TOTAL_hayman","Percent_Immune"
"Awapuni North",288,264,219,237,342,273,255,201,201,150,177,147,102,462,3321,176.514,193.866,268.812,235.872,234.6,184.92,184.92,138,184.428,145.53,100.98,457.38,2505.822,2766,0.905937093275488
"Awapuni West",81,90,87,99,93,75,96,69,90,81,129,111,108,204,1416,70.122,80.982,73.098,64.8,88.32,63.48,82.8,74.52,105.66,109.89,106.92,201.96,1122.552,1242,0.903826086956522
"Awapuni South",222,234,213,210,216,186,171,240,225,192,243,174,168,516,3210,171.678,171.78,169.776,160.704,157.32,220.8,207,176.64,218.484,172.26,166.32,510.84,2503.602,2754,0.909078431372549
"West End",249,219,240,474,828,417,291,240,264,264,285,201,195,543,4716,193.44,387.732,650.808,360.288,267.72,220.8,242.88,242.88,252.36,198.99,193.05,537.57,3748.518,4242,0.883667609618105
"Hokowhitu West",168,192,252,411,672,267,222,171,285,246,285,258,216,510,4158,203.112,336.198,528.192,230.688,204.24,157.32,262.2,226.32,257.112,255.42,213.84,504.9,3379.542,3795,0.890524901185771
"Hokowhitu Lagoon",63,66,84,111,111,66,84,60,87,108,129,135,132,276,1512,67.704,90.798,87.246,57.024,77.28,55.2,80.04,99.36,104.472,133.65,130.68,273.24,1256.694,1383,0.908672451193059
"Hokowhitu East",300,333,345,342,474,348,315,303,339,354,333,243,258,678,4965,278.07,279.756,372.564,300.672,289.8,278.76,311.88,325.68,320.436,240.57,255.42,671.22,3924.828,4332,0.906008310249308
"Aokautere",159,225,252,363,234,129,114,195,270,267,276,243,201,510,3441,203.112,296.934,183.924,111.456,104.88,179.4,248.4,245.64,252.144,240.57,198.99,504.9,2770.35,3054,0.907121807465619
"Shannon",72,81,108,87,72,48,54,66,69,105,108,81,63,222,1242,87.048,71.166,56.592,41.472,49.68,60.72,63.48,96.6,102.384,80.19,62.37,219.78,991.482,1083,0.915495844875346
"Waitarere",21,27,30,27,9,15,21,33,24,33,45,66,57,177,588,24.18,22.086,7.074,12.96,19.32,30.36,22.08,30.36,36.72,65.34,56.43,175.23,502.14,537,0.935083798882682
"Waikanae Beach",177,195,204,159,138,87,126,162,228,243,225,168,225,708,3048,164.424,130.062,108.468,75.168,115.92,149.04,209.76,223.56,204.984,166.32,222.75,700.92,2471.376,2673,0.924570145903479
"Waikanae East",111,117,117,114,60,45,60,96,138,141,168,144,159,690,2175,94.302,93.252,47.16,38.88,55.2,88.32,126.96,129.72,139.068,142.56,157.41,683.1,1795.932,1932,0.929571428571429
"Peka Peka",18,21,24,6,9,9,12,24,27,27,36,42,45,57,360,19.344,4.908,7.074,7.776,11.04,22.08,24.84,24.84,29.376,41.58,44.55,56.43,293.838,318,0.924018867924528
"Waikanae Park",75,81,90,66,30,42,48,81,114,105,93,102,144,870,1953,72.54,53.988,23.58,36.288,44.16,74.52,104.88,96.6,86.976,100.98,142.56,861.3,1698.372,1785,0.951468907563025
"Waikanae West",120,138,144,138,90,66,84,120,147,153,195,177,240,1653,3462,116.064,112.884,70.74,57.024,77.28,110.4,135.24,140.76,164.664,175.23,237.6,1636.47,3034.356,3207,0.946166510757717
"Tokomaru",60,54,42,24,30,30,51,39,42,48,30,36,21,48,552,33.852,19.632,23.58,25.92,46.92,35.88,38.64,44.16,33.192,35.64,20.79,47.52,405.726,441,0.920013605442177
"Opiki",45,45,36,30,15,39,27,42,42,30,42,45,27,51,525,29.016,24.54,11.79,33.696,24.84,38.64,38.64,27.6,37.44,44.55,26.73,50.49,387.972,426,0.910732394366197
"Kaitawa",30,33,45,27,15,9,18,27,57,54,51,57,39,81,543,36.27,22.086,11.79,7.776,16.56,24.84,52.44,49.68,45.972,56.43,38.61,80.19,442.644,480,0.922175
"Lake Horowhenua",42,45,63,30,36,15,24,30,45,66,66,63,75,162,756,50.778,24.54,28.296,12.96,22.08,27.6,41.4,60.72,61.38,62.37,74.25,160.38,626.754,675,0.928524444444444
"Waiopehu",45,75,99,87,57,30,33,72,96,111,180,165,138,333,1521,79.794,71.166,44.802,25.92,30.36,66.24,88.32,102.12,138.564,163.35,136.62,329.67,1276.926,1401,0.911438972162741
"Kohitere",27,57,66,63,33,12,21,39,45,66,72,81,72,180,834,53.196,51.534,25.938,10.368,19.32,35.88,41.4,60.72,65.88,80.19,71.28,178.2,693.906,750,0.925208
"Mangaore-Manakau",168,186,204,195,111,108,120,144,225,306,300,246,273,558,3141,164.424,159.51,87.246,93.312,110.4,132.48,207,281.52,246.384,243.54,270.27,552.42,2548.506,2790,0.913443010752688
"Otaki Forks",63,78,93,84,36,33,33,51,138,117,171,141,150,306,1488,74.958,68.712,28.296,28.512,30.36,46.92,126.96,107.64,131.22,139.59,148.5,302.94,1234.608,1353,0.91249667405765
"Te Horo",42,60,42,48,27,24,27,51,54,75,99,60,60,144,807,33.852,39.264,21.222,20.736,24.84,46.92,49.68,69,71.28,59.4,59.4,142.56,638.154,711,0.897544303797468
"Levin North",210,213,207,231,156,138,147,156,204,234,246,228,219,900,3489,166.842,188.958,122.616,119.232,135.24,143.52,187.68,215.28,217.764,225.72,216.81,891,2830.662,3066,0.923242661448141
"Levin West",183,192,210,189,156,108,114,126,159,177,192,138,156,564,2667,169.26,154.602,122.616,93.312,104.88,115.92,146.28,162.84,189.144,136.62,154.44,558.36,2108.274,2289,0.921045871559633
"Playford Park",222,213,216,207,168,171,141,147,168,177,204,168,195,939,3336,174.096,169.326,132.048,147.744,129.72,135.24,154.56,162.84,198.144,166.32,193.05,929.61,2692.698,2901,0.928196483971044
"Levin South",171,138,144,147,108,81,81,66,96,102,102,87,108,390,1815,116.064,120.246,84.888,69.984,74.52,60.72,88.32,93.84,113.328,86.13,106.92,386.1,1401.06,1512,0.926626984126984
"Levin East",243,282,291,279,195,147,159,228,243,258,273,228,240,1362,4428,234.546,228.222,153.27,127.008,146.28,209.76,223.56,237.36,265.932,225.72,237.6,1348.38,3637.638,3903,0.932010760953113
"Otaki",396,405,381,297,240,216,246,285,375,321,390,360,396,1470,5778,307.086,242.946,188.64,186.624,226.32,262.2,345,295.32,366.156,356.4,392.04,1455.3,4624.032,4977,0.929080168776371
"Heretaunga",57,66,72,66,66,45,45,57,72,81,81,84,63,339,1194,58.032,53.988,51.876,38.88,41.4,52.44,66.24,74.52,73.224,83.16,62.37,335.61,991.74,1071,0.925994397759104
"Trentham South",33,45,39,51,96,81,84,111,108,87,72,42,30,255,1131,31.434,41.718,75.456,69.984,77.28,102.12,99.36,80.04,55.188,41.58,29.7,252.45,956.31,1056,0.905596590909091
"Pinehaven",177,237,177,165,132,114,153,216,237,219,198,207,153,303,2691,142.662,134.97,103.752,98.496,140.76,198.72,218.04,201.48,179.388,204.93,151.47,299.97,2074.638,2274,0.91232981530343
"Moonshine Valley",12,9,18,15,6,6,9,9,9,24,27,21,12,21,198,14.508,12.27,4.716,5.184,8.28,8.28,8.28,22.08,22.032,20.79,11.88,20.79,159.09,177,0.898813559322034
"Riverstone Terraces",114,102,120,66,36,66,99,123,156,147,111,111,60,75,1383,96.72,53.988,28.296,57.024,91.08,113.16,143.52,135.24,108.792,109.89,59.4,74.25,1071.36,1170,0.915692307692308
"Glendale",342,348,339,312,273,240,291,234,270,243,258,180,153,321,3801,273.234,255.216,214.578,207.36,267.72,215.28,248.4,223.56,276.66,178.2,151.47,317.79,2829.468,3114,0.908628131021195
"Parkway",240,240,240,228,204,198,210,228,225,180,201,180,162,396,3141,193.44,186.504,160.344,171.072,193.2,209.76,207,165.6,205.992,178.2,160.38,392.04,2423.532,2652,0.913850678733032
"Fernlea",153,153,141,141,150,120,135,123,147,150,138,108,78,228,1974,113.646,115.338,117.9,103.68,124.2,113.16,135.24,138,132.012,106.92,77.22,225.72,1503.036,1659,0.905989150090416
"Arakura",219,210,192,195,168,156,147,177,183,150,171,120,117,240,2445,154.752,159.51,132.048,134.784,135.24,162.84,168.36,138,170.424,118.8,115.83,237.6,1828.188,2016,0.906839285714286
"Homedale West",195,186,177,204,150,153,168,126,168,177,174,138,120,324,2463,142.662,166.872,117.9,132.192,154.56,115.92,154.56,162.84,166.14,136.62,118.8,320.76,1889.826,2079,0.909007215007215
"Homedale East",252,228,228,222,216,189,174,156,216,216,213,162,141,312,2925,183.768,181.596,169.776,163.296,160.08,143.52,198.72,198.72,207.864,160.38,139.59,308.88,2216.19,2445,0.90641717791411
"Pencarrow",27,24,36,30,30,24,21,21,42,57,63,60,45,72,549,29.016,24.54,23.58,20.736,19.32,19.32,38.64,52.44,49.032,59.4,44.55,71.28,451.854,501,0.901904191616766
"Pauatahanui",45,75,120,93,69,12,24,39,96,153,111,90,54,99,1080,96.72,76.074,54.234,10.368,22.08,35.88,88.32,140.76,108.792,89.1,53.46,98.01,873.798,960,0.91020625
"Endeavour",240,315,285,276,183,84,162,270,330,405,342,270,234,363,3762,229.71,225.768,143.838,72.576,149.04,248.4,303.6,372.6,301.644,267.3,231.66,359.37,2905.506,3204,0.906837078651685
"Resolution",9,12,9,6,9,3,0,15,9,12,18,12,3,12,135,7.254,4.908,7.074,2.592,0,13.8,8.28,11.04,13.5,11.88,2.97,11.88,95.178,108,0.881277777777778
"Adventure",102,114,102,75,72,72,105,105,102,120,72,63,81,177,1359,82.212,61.35,56.592,62.208,96.6,96.6,93.84,110.4,80.136,62.37,80.19,175.23,1057.728,1146,0.922973821989529
"Paekakariki Hill",9,18,12,12,3,3,9,15,12,15,12,12,12,9,150,9.672,9.816,2.358,2.592,8.28,13.8,11.04,13.8,11.376,11.88,11.88,8.91,115.404,126,0.915904761904762
"Paraparaumu Beach North",225,270,258,240,171,147,144,210,276,258,270,213,210,669,3564,207.948,196.32,134.406,127.008,132.48,193.2,253.92,237.36,251.208,210.87,207.9,662.31,2814.93,3066,0.918111545988258
"Otaihanga",72,66,90,99,51,36,51,72,99,117,117,102,63,168,1206,72.54,80.982,40.086,31.104,46.92,66.24,91.08,107.64,100.224,100.98,62.37,166.32,966.486,1065,0.907498591549296
"Paraparaumu Beach South",282,273,300,288,201,174,198,237,300,354,348,318,324,1347,4941,241.8,235.584,157.986,150.336,182.16,218.04,276,325.68,310.896,314.82,320.76,1333.53,4067.592,4389,0.92676965140123
"Paraparaumu Central",537,495,561,543,444,354,393,429,534,612,537,480,438,2331,8685,452.166,444.174,348.984,305.856,361.56,394.68,491.28,563.04,518.58,475.2,433.62,2307.69,7096.83,7656,0.926963166144201
"Raumati Beach",282,381,330,279,183,156,177,249,381,384,342,303,270,1128,4848,265.98,228.222,143.838,134.784,162.84,229.08,350.52,353.28,319.464,299.97,267.3,1116.72,3871.998,4182,0.925872309899569
"Raumati South",279,243,267,210,153,114,174,252,342,306,327,252,222,447,3594,215.202,171.78,120.258,98.496,160.08,231.84,314.64,281.52,286.236,249.48,219.78,442.53,2791.842,3066,0.910581213307241
"Paekakariki",117,129,123,87,48,54,78,126,162,132,153,138,117,201,1665,99.138,71.166,37.728,46.656,71.76,115.92,149.04,121.44,133.164,136.62,115.83,198.99,1297.452,1419,0.914342494714588
"Kapiti Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maungakotukutuku",39,60,75,69,30,6,33,48,93,117,114,78,72,147,978,60.45,56.442,23.58,5.184,30.36,44.16,85.56,107.64,92.628,77.22,71.28,145.53,800.034,882,0.907068027210884
"Te Marua",72,72,108,102,45,39,60,72,117,117,105,72,54,126,1152,87.048,83.436,35.37,33.696,55.2,66.24,107.64,107.64,100.728,71.28,53.46,124.74,926.478,1017,0.910991150442478
"Akatarawa",39,39,42,27,30,36,42,30,45,45,54,39,42,54,567,33.852,22.086,23.58,31.104,38.64,27.6,41.4,41.4,46.44,38.61,41.58,53.46,439.752,486,0.904839506172839
"Emerald Hill",186,177,222,219,153,132,126,207,255,195,225,189,141,330,2760,178.932,179.142,120.258,114.048,115.92,190.44,234.6,179.4,212.112,187.11,139.59,326.7,2178.252,2394,0.90987969924812
"Maoribank",213,207,216,210,180,201,183,195,225,234,198,138,150,282,2832,174.096,171.78,141.48,173.664,168.36,179.4,207,215.28,194.832,136.62,148.5,279.18,2190.192,2412,0.908039800995025
"Clouston Park",165,132,189,159,156,126,132,159,183,183,201,135,138,405,2460,152.334,130.062,122.616,108.864,121.44,146.28,168.36,168.36,185.796,133.65,136.62,400.95,1975.332,2166,0.911972299168975
"Totara Park",237,234,195,207,147,138,225,192,252,186,216,150,180,303,2874,157.17,169.326,115.542,119.232,207,176.64,231.84,171.12,196.452,148.5,178.2,299.97,2170.992,2391,0.907984943538268
"Ebdentown",147,144,132,156,117,102,114,135,147,159,165,138,132,381,2163,106.392,127.608,91.962,88.128,104.88,124.2,135.24,146.28,143.352,136.62,130.68,377.19,1712.532,1878,0.911891373801917
"Upper Hutt Central",24,18,12,21,18,18,15,18,27,15,21,21,18,57,312,9.672,17.178,14.148,15.552,13.8,16.56,24.84,13.8,16.344,20.79,17.82,56.43,236.934,261,0.907793103448276
"Maidstone",12,12,12,6,6,12,3,12,9,3,3,12,3,12,114,9.672,4.908,4.716,10.368,2.76,11.04,8.28,2.76,6.408,11.88,2.97,11.88,87.642,93,0.942387096774194
"Wallaceville",156,132,120,132,168,150,153,126,159,147,168,141,93,306,2154,96.72,107.976,132.048,129.6,140.76,115.92,146.28,135.24,140.256,139.59,92.07,302.94,1679.4,1863,0.901449275362319
"Elderslea",219,195,186,228,174,177,159,180,225,192,243,198,159,708,3243,149.916,186.504,136.764,152.928,146.28,165.6,207,176.64,207.792,196.02,157.41,700.92,2583.774,2829,0.913317073170732
"Poets Block",150,138,165,174,123,123,123,150,174,183,153,126,99,336,2223,132.99,142.332,96.678,106.272,113.16,138,160.08,168.36,149.796,124.74,98.01,332.64,1763.058,1929,0.913975116640746
"Brentwood",150,156,189,171,114,111,117,174,186,144,129,120,99,240,2097,152.334,139.878,89.604,95.904,107.64,160.08,171.12,132.48,146.052,118.8,98.01,237.6,1649.502,1794,0.919454849498328
"Trentham North",216,159,177,159,216,195,198,189,222,177,210,162,129,531,2940,142.662,130.062,169.776,168.48,182.16,173.88,204.24,162.84,186.012,160.38,127.71,525.69,2333.892,2565,0.909899415204678
"Heretaunga-Silverstream",207,210,249,255,219,150,174,207,270,327,297,222,192,612,3588,200.694,208.59,172.134,129.6,160.08,190.44,248.4,300.84,262.548,219.78,190.08,605.88,2889.066,3174,0.910228733459357
"Cloustonville",27,30,36,36,18,12,21,27,36,42,33,39,24,36,408,29.016,29.448,14.148,10.368,19.32,24.84,33.12,38.64,32.472,38.61,23.76,35.64,329.382,360,0.91495
"Mangaroa",99,114,150,132,90,45,72,111,174,189,171,129,96,129,1698,120.9,107.976,70.74,38.88,66.24,102.12,160.08,173.88,153.792,127.71,95.04,127.71,1345.068,1488,0.903943548387097
"Tawhai",243,246,243,219,225,228,219,252,246,222,234,183,165,423,3345,195.858,179.142,176.85,196.992,201.48,231.84,226.32,204.24,225.396,181.17,163.35,418.77,2601.408,2859,0.909901364113326
"Holborn",195,159,138,132,132,177,132,159,150,138,150,123,99,180,2064,111.228,107.976,103.752,152.928,121.44,146.28,138,126.96,137.448,121.77,98.01,178.2,1543.992,1710,0.902919298245614
"Delaney",246,216,231,186,183,159,138,144,171,162,171,102,81,219,2415,186.186,152.148,143.838,137.376,126.96,132.48,157.32,149.04,185.868,100.98,80.19,216.81,1769.196,1947,0.908677966101695
"Manuka",123,129,108,102,87,81,108,114,126,123,147,96,114,255,1710,87.048,83.436,68.382,69.984,99.36,104.88,115.92,113.16,123.912,95.04,112.86,252.45,1326.432,1461,0.907893223819302
"Taita North",210,222,225,210,183,153,150,198,153,150,162,123,138,324,2610,181.35,171.78,143.838,132.192,138,182.16,140.76,138,178.524,121.77,136.62,320.76,1985.754,2169,0.915515905947441
"Taita South",264,231,243,234,210,186,207,186,213,189,153,162,135,318,2928,195.858,191.412,165.06,160.704,190.44,171.12,195.96,173.88,180.684,160.38,133.65,314.82,2233.968,2436,0.917064039408867
"Avalon East",180,144,147,159,132,159,171,171,186,156,117,117,138,360,2337,118.482,130.062,103.752,137.376,157.32,157.32,171.12,143.52,122.796,115.83,136.62,356.4,1850.598,2013,0.919323397913562
"Naenae North",396,372,372,351,366,306,285,294,306,309,288,273,216,522,4659,299.832,287.118,287.676,264.384,262.2,270.48,281.52,284.28,306.288,270.27,213.84,516.78,3544.668,3888,0.911694444444445
"Naenae South",288,261,291,261,276,255,231,264,222,237,258,192,156,333,3528,234.546,213.498,216.936,220.32,212.52,242.88,204.24,218.04,257.652,190.08,154.44,329.67,2694.822,2976,0.90551814516129
"Avalon West",117,105,114,156,114,102,111,141,171,168,150,120,141,759,2469,91.884,127.608,89.604,88.128,102.12,129.72,157.32,154.56,127.944,118.8,139.59,751.41,2078.688,2247,0.92509479305741
"Boulcott",168,147,156,162,135,141,156,156,174,186,162,156,135,447,2487,125.736,132.516,106.11,121.824,143.52,143.52,160.08,171.12,151.2,154.44,133.65,442.53,1986.246,2166,0.91701108033241
"Epuni West",174,177,183,186,186,165,177,183,213,246,243,216,189,486,3018,147.498,152.148,146.196,142.56,162.84,168.36,195.96,226.32,206.604,213.84,187.11,481.14,2430.576,2673,0.909306397306397
"Epuni East",231,213,180,144,171,177,213,240,204,183,213,183,156,366,2871,145.08,117.792,134.406,152.928,195.96,220.8,187.68,168.36,188.856,181.17,154.44,362.34,2209.812,2430,0.909387654320988
"Waterloo West",36,60,72,66,48,36,36,48,60,81,99,60,45,132,882,58.032,53.988,37.728,31.104,33.12,44.16,55.2,74.52,83.16,59.4,44.55,130.68,705.642,783,0.9012030651341
"Waterloo East",303,330,276,288,213,201,222,300,369,339,312,255,222,618,4245,222.456,235.584,167.418,173.664,204.24,276,339.48,311.88,281.52,252.45,219.78,611.82,3296.292,3615,0.91183734439834
"Waiwhetu North",96,102,108,99,117,90,90,84,102,96,93,75,66,141,1359,87.048,80.982,91.962,77.76,82.8,77.28,93.84,88.32,94.104,74.25,65.34,139.59,1053.276,1161,0.907214470284238
"Waiwhetu South",210,162,150,165,171,183,231,189,192,171,168,138,141,330,2601,120.9,134.97,134.406,158.112,212.52,173.88,176.64,157.32,152.136,136.62,139.59,326.7,2023.794,2229,0.907938088829071
"Gracefield",3,0,3,3,9,6,3,6,9,6,3,6,3,3,60,2.418,2.454,7.074,5.184,2.76,5.52,8.28,5.52,2.844,5.94,2.97,2.97,53.934,60,0.8989
"Moera",120,117,105,108,111,96,105,132,117,108,105,81,69,162,1533,84.63,88.344,87.246,82.944,96.6,121.44,107.64,99.36,99.54,80.19,68.31,160.38,1176.624,1299,0.905792147806004
"Woburn North",63,72,90,108,72,60,45,60,96,123,123,102,78,204,1299,72.54,88.344,56.592,51.84,41.4,55.2,88.32,113.16,103.536,100.98,77.22,201.96,1051.092,1161,0.905333333333333
"Woburn South",18,18,24,18,33,27,24,27,15,27,30,15,39,75,390,19.344,14.724,25.938,23.328,22.08,24.84,13.8,24.84,26.064,14.85,38.61,74.25,322.668,354,0.911491525423729
"Hutt Central",165,222,252,282,243,198,177,192,264,306,330,294,225,804,3954,203.112,230.676,190.998,171.072,162.84,176.64,242.88,281.52,281.952,291.06,222.75,795.96,3251.46,3567,0.911539108494533
"Melling",48,33,39,39,42,51,69,57,54,42,48,33,33,54,645,31.434,31.902,33.012,44.064,63.48,52.44,49.68,38.64,41.94,32.67,32.67,53.46,505.392,561,0.900877005347594
"Alicetown",147,138,120,93,153,153,147,177,198,144,150,117,75,162,1971,96.72,76.074,120.258,132.192,135.24,162.84,182.16,132.48,130.32,115.83,74.25,160.38,1518.744,1689,0.899197158081705
"Normandale",138,156,126,132,120,111,126,156,192,162,162,153,126,192,2052,101.556,107.976,94.32,95.904,115.92,143.52,176.64,149.04,139.32,151.47,124.74,190.08,1590.486,1758,0.904713310580205
"Maungaraki",315,264,240,216,189,213,312,321,345,279,252,198,210,420,3777,193.44,176.688,148.554,184.032,287.04,295.32,317.4,256.68,234.144,196.02,207.9,415.8,2913.018,3195,0.911742723004695
"Tirohanga",72,75,87,84,72,51,60,57,96,84,117,105,69,129,1164,70.122,68.712,56.592,44.064,55.2,52.44,88.32,77.28,99.036,103.95,68.31,127.71,911.736,1011,0.901816023738872
"Belmont",183,174,186,171,153,138,168,165,237,234,249,213,189,249,2700,149.916,139.878,120.258,119.232,154.56,151.8,218.04,215.28,211.104,210.87,187.11,246.51,2124.558,2352,0.903298469387755
"Kelson",216,189,180,144,144,186,237,228,255,195,180,183,138,222,2697,145.08,117.792,113.184,160.704,218.04,209.76,234.6,179.4,170.64,181.17,136.62,219.78,2086.77,2292,0.910458115183246
"Haywards-Manor Park",21,24,21,27,18,24,18,27,24,30,27,21,33,72,390,16.926,22.086,14.148,20.736,16.56,24.84,22.08,27.6,23.22,20.79,32.67,71.28,312.936,342,0.915017543859649
"Korokoro",102,84,84,63,72,69,93,93,129,117,117,90,72,144,1332,67.704,51.534,56.592,59.616,85.56,85.56,118.68,107.64,97.848,89.1,71.28,142.56,1033.674,1143,0.904351706036746
"Petone Central",54,54,45,63,87,90,90,78,72,72,57,36,42,63,906,36.27,51.534,68.382,77.76,82.8,71.76,66.24,66.24,49.284,35.64,41.58,62.37,709.86,795,0.892905660377359
"Esplanade",174,156,111,135,228,210,192,222,201,174,144,147,111,276,2487,89.466,110.43,179.208,181.44,176.64,204.24,184.92,160.08,123.444,145.53,109.89,273.24,1938.528,2151,0.901221757322176
"Wilford",246,195,174,186,327,240,264,279,243,234,252,180,141,405,3363,140.244,152.148,257.022,207.36,242.88,256.68,223.56,215.28,208.008,178.2,139.59,400.95,2621.922,2925,0.89638358974359
"Eastbourne",234,324,330,291,153,111,168,255,318,411,426,441,348,852,4665,265.98,238.038,120.258,95.904,154.56,234.6,292.56,378.12,365.832,436.59,344.52,843.48,3770.442,4104,0.918723684210526
"Titahi Bay North",231,198,162,120,180,165,171,195,189,141,162,156,126,255,2457,130.572,98.16,141.48,142.56,157.32,179.4,173.88,129.72,153.576,154.44,124.74,252.45,1838.298,2022,0.909148367952522
"Onepoto",165,165,123,117,108,90,129,144,156,117,108,111,102,162,1800,99.138,95.706,84.888,77.76,118.68,132.48,143.52,107.64,108.324,109.89,100.98,160.38,1339.386,1467,0.913010224948875
"Titahi Bay South",360,330,255,225,192,237,267,264,249,210,210,192,138,438,3564,205.53,184.05,150.912,204.768,245.64,242.88,229.08,193.2,216.9,190.08,136.62,433.62,2633.28,2877,0.915286757038582
"Elsdon-Takapuwahia",201,159,174,204,168,162,135,147,150,129,132,135,96,219,2211,140.244,166.872,132.048,139.968,124.2,135.24,138,118.68,141.768,133.65,95.04,216.81,1682.52,1851,0.908978930307942
"Porirua Central",18,6,21,30,45,39,30,33,39,30,30,24,21,21,381,16.926,24.54,35.37,33.696,27.6,30.36,35.88,27.6,24.876,23.76,20.79,20.79,322.188,363,0.887570247933884
"Porirua East",159,147,159,201,168,135,123,138,162,144,120,123,108,165,2043,128.154,164.418,132.048,116.64,113.16,126.96,149.04,132.48,129.204,121.77,106.92,163.35,1584.144,1746,0.907298969072165
"Ranui Heights",117,84,75,99,78,75,114,105,99,93,102,84,87,150,1359,60.45,80.982,61.308,64.8,104.88,96.6,91.08,85.56,86.004,83.16,86.13,148.5,1049.454,1161,0.903922480620155
"Cannons Creek North",333,282,312,309,285,207,186,180,219,189,180,129,126,195,3132,251.472,252.762,224.01,178.848,171.12,165.6,201.48,173.88,222.912,127.71,124.74,193.05,2287.584,2517,0.908853396901073
"Cannons Creek South",147,144,165,156,135,87,78,87,108,96,87,69,60,114,1530,132.99,127.608,106.11,75.168,71.76,80.04,99.36,88.32,113.364,68.31,59.4,112.86,1135.29,1242,0.914082125603865
"Cannons Creek East",360,327,348,357,309,225,195,237,216,228,174,147,144,324,3594,280.488,292.026,242.874,194.4,179.4,218.04,198.72,209.76,233.856,145.53,142.56,320.76,2658.414,2904,0.915431818181818
"Waitangirua",426,411,405,396,345,261,246,240,243,225,228,153,159,288,4020,326.43,323.928,271.17,225.504,226.32,220.8,223.56,207,286.236,151.47,157.41,285.12,2904.948,3189,0.910927563499529
"Papakowhai North",141,147,147,153,111,93,120,156,165,174,213,162,132,369,2280,118.482,125.154,87.246,80.352,110.4,143.52,151.8,160.08,175.788,160.38,130.68,365.31,1809.192,1995,0.906863157894737
"Papakowhai South",267,186,114,87,72,120,210,243,213,150,114,129,84,297,2292,91.884,71.166,56.592,103.68,193.2,223.56,195.96,138,108.072,127.71,83.16,294.03,1687.014,1833,0.920356792144026
"Ascot Park",243,213,222,234,204,156,201,183,213,180,156,123,126,216,2670,178.932,191.412,160.344,134.784,184.92,168.36,195.96,165.6,174.024,121.77,124.74,213.84,2014.686,2214,0.909975609756097
"Pukerua Bay",168,150,138,96,84,72,87,153,183,156,156,132,120,198,1896,111.228,78.528,66.024,62.208,80.04,140.76,168.36,143.52,140.76,130.68,118.8,196.02,1436.928,1575,0.912335238095238
"Plimmerton",144,129,141,129,93,84,108,144,168,192,159,168,156,300,2115,113.646,105.522,73.098,72.576,99.36,132.48,154.56,176.64,143.604,166.32,154.44,297,1689.246,1842,0.917071661237785
"Mana-Camborne",177,177,156,135,132,99,117,186,237,189,216,204,177,357,2553,125.736,110.43,103.752,85.536,107.64,171.12,218.04,173.88,181.008,201.96,175.23,353.43,2007.762,2205,0.910549659863946
"Paremata-Postgate",159,198,162,156,126,147,165,180,210,204,210,168,159,300,2547,130.572,127.608,99.036,127.008,151.8,165.6,193.2,187.68,180.072,166.32,157.41,297,1983.306,2187,0.906861454046639
"Discovery",210,216,228,165,132,123,159,207,246,219,213,180,138,309,2751,183.768,134.97,103.752,106.272,146.28,190.44,226.32,201.48,207.864,178.2,136.62,305.91,2121.876,2319,0.914996119016817
"Mana Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tawa South",210,255,267,261,219,141,183,201,264,303,270,246,165,585,3567,215.202,213.498,172.134,121.824,168.36,184.92,242.88,278.76,254.772,243.54,163.35,579.15,2838.39,3105,0.914135265700483
"Tawa Central",318,276,336,360,276,249,270,324,375,372,285,234,225,483,4377,270.816,294.48,216.936,215.136,248.4,298.08,345,342.24,290.376,231.66,222.75,478.17,3454.044,3789,0.911597783056216
"Linden",300,282,294,309,255,231,294,291,309,321,255,237,189,432,3999,236.964,252.762,200.43,199.584,270.48,267.72,284.28,295.32,257.184,234.63,187.11,427.68,3114.144,3417,0.911367866549605
"Greenacres",90,129,123,138,114,75,96,96,132,153,129,102,75,132,1581,99.138,112.884,89.604,64.8,88.32,88.32,121.44,140.76,119.916,100.98,74.25,130.68,1231.092,1365,0.901898901098901
"Thorndon-Tinakori Road",111,96,114,198,633,666,468,303,228,261,237,213,192,402,4128,91.884,161.964,497.538,575.424,430.56,278.76,209.76,240.12,175.968,210.87,190.08,397.98,3460.908,3915,0.884012260536398
"Lambton",78,39,54,1089,1506,903,546,267,189,174,192,165,147,276,5622,43.524,890.802,1183.716,780.192,502.32,245.64,173.88,160.08,127.368,163.35,145.53,273.24,4689.642,5508,0.851423747276688
