"Area_unit","AGE_0_4","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_29","AGE_30_34","AGE_35_39","AGE_40_44","AGE_45_49","AGE_50_54","AGE_55_59","AGE_60_64","AGE_65_OVER","AGE_TOTAL","AGE_10_14_im","AGE_15_19_im","AGE_20_24_im","AGE_25_29_im","AGE_30_34_im","AGE_35_39_im","AGE_40_44_im","AGE_45_49_im","AGE_50_54_im","AGE_55_59_im","AGE_60_64_im","AGE_65_OVER_im","AGE_TOTAL_im","AGE_TOTAL_hayman","Percent_Immune"
"Waiotira-Springfield",138,147,165,135,66,96,72,114,174,162,147,174,141,276,2007,132.99,110.43,51.876,82.944,66.24,104.88,160.08,149.04,146.484,172.26,139.59,273.24,1590.054,1722,0.923376306620209
"Whangaruru Harbour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Punaruku-Kiripaka",288,321,270,225,126,153,174,246,309,300,342,366,327,597,4047,217.62,184.05,99.036,132.192,160.08,226.32,284.28,276,295.704,362.34,323.73,591.03,3152.382,3435,0.917724017467249
"Bream Bay",51,60,81,60,33,30,30,39,84,72,75,69,72,129,888,65.286,49.08,25.938,25.92,27.6,35.88,77.28,66.24,73.476,68.31,71.28,127.71,714,774,0.922480620155039
"Waipu",78,84,93,81,54,72,57,63,90,108,126,123,153,489,1671,74.958,66.258,42.444,62.208,52.44,57.96,82.8,99.36,106.38,121.77,151.47,484.11,1402.158,1509,0.929196819085487
"Pataua-Whareora",75,105,87,69,39,24,39,69,111,114,108,102,75,129,1140,70.122,56.442,30.654,20.736,35.88,63.48,102.12,104.88,94.068,100.98,74.25,127.71,881.322,966,0.912341614906832
"Parua Bay",123,144,126,87,57,72,66,105,123,150,165,186,201,414,2016,101.556,71.166,44.802,62.208,60.72,96.6,113.16,138,140.976,184.14,198.99,409.86,1622.178,1752,0.925900684931507
"Bream Head",78,81,66,66,30,33,51,72,81,117,126,120,129,255,1302,53.196,53.988,23.58,28.512,46.92,66.24,74.52,107.64,95.688,118.8,127.71,252.45,1049.244,1146,0.915570680628272
"Springs Flat",87,81,99,114,66,63,42,78,96,111,159,120,96,237,1449,79.794,93.252,51.876,54.432,38.64,71.76,88.32,102.12,126.972,118.8,95.04,234.63,1155.636,1281,0.902135831381733
"Three Mile Bush",63,96,96,60,39,27,39,54,87,84,75,75,72,126,999,77.376,49.08,30.654,23.328,35.88,49.68,80.04,77.28,79.416,74.25,71.28,124.74,773.004,834,0.926863309352518
